fullName	culture	bioRep	techRep	taxonomy	taxGenus	taxSpecies	scoreValue	replicate	preparation	day
Ach1_1_1	Ach1	1	1	Achromobacter xylosoxidans	Achromobacter	xylosoxidans	2.102	18	direct	1D
Ach1_1_2	Ach1	1	2	Achromobacter xylosoxidans	Achromobacter	xylosoxidans	2.157	18	direct	1D
Ach1_1_3	Ach1	1	3	Achromobacter piechaudii	Achromobacter	piechaudii	2.11	18	direct	1D
Ach1_2_1	Ach1	2	1	Achromobacter xylosoxidans	Achromobacter	xylosoxidans	2.087	63	direct	1D
Ach1_2_2	Ach1	2	2	Achromobacter xylosoxidans	Achromobacter	xylosoxidans	2.083	63	direct	1D
Ach1_2_3	Ach1	2	3	Achromobacter piechaudii	Achromobacter	piechaudii	2.069	63	direct	1D
Ach1_3_1	Ach1	3	1	Achromobacter spanius	Achromobacter	spanius	1.961	111	direct	1D
Ach1_3_2	Ach1	3	2	Achromobacter piechaudii	Achromobacter	piechaudii	2.077	111	direct	1D
Ach1_3_3	Ach1	3	3	Achromobacter spanius	Achromobacter	spanius	1.996	111	direct	1D
Ach1_4_1	Ach1	4	1	Achromobacter piechaudii	Achromobacter	piechaudii	2.016	161	direct	1D
Ach1_4_2	Ach1	4	2	Achromobacter piechaudii	Achromobacter	piechaudii	2.105	161	direct	1D
Ach1_4_3	Ach1	4	3	Achromobacter xylosoxidans	Achromobacter	xylosoxidans	2.043	161	direct	1D
Art1_1_1	Art1	1	1	Arthrobacter sulfonivorans	Arthrobacter	sulfonivorans	1.804	20	direct	1D
Art1_1_2	Art1	1	2	Arthrobacter sulfonivorans	Arthrobacter	sulfonivorans	1.768	20	direct	1D
Art1_1_3	Art1	1	3	Arthrobacter oxydans	Arthrobacter	oxydans	1.718	20	direct	1D
Art1_2_1	Art1	2	1	NA	NA	NA	1.636	65	direct	1D
Art1_2_2	Art1	2	2	Arthrobacter polychromogenes	Arthrobacter	polychromogenes	1.834	65	direct	1D
Art1_2_3	Art1	2	3	Arthrobacter oxydans	Arthrobacter	oxydans	1.74	65	direct	1D
Art1_3_1	Art1	3	1	Arthrobacter polychromogenes	Arthrobacter	polychromogenes	1.838	113	direct	1D
